Date,Open,High,Low,Close,Volume
2025-06-26,582.63,583.56,571.48,577.2,269700
2025-06-27,578.0,588.74,576.96,581.1,409800
2025-06-30,580.57,594.05,578.95,592.84,266800
2025-07-01,588.84,592.89,580.84,590.05,347400
2025-07-02,587.32,587.32,572.27,583.08,329100
2025-07-03,582.74,593.38,581.25,590.04,173800
2025-07-07,590.48,595.21,586.59,589.69,235900
2025-07-08,590.0,594.33,582.13,585.05,239000
2025-07-09,584.87,587.13,578.51,578.98,427600
2025-07-10,577.17,577.17,559.78,559.9,405400
2025-07-11,559.6,564.85,550.0,551.8,243700
2025-07-14,550.9,563.65,550.21,562.48,314400
2025-07-15,565.04,569.4,553.37,553.48,288800
2025-07-16,555.24,559.36,550.48,558.67,298300
2025-07-17,560.13,565.47,557.78,561.26,292100
2025-07-18,563.15,565.93,560.01,564.36,253500
2025-07-21,567.68,570.72,560.0,560.03,182800
2025-07-22,561.12,566.95,561.12,564.98,175900
2025-07-23,563.89,565.75,560.41,560.62,189900
2025-07-24,561.0,563.0,556.43,559.92,334100
2025-07-25,559.29,562.35,551.39,556.46,424900
2025-07-28,558.55,558.55,552.44,556.46,572300
2025-07-29,560.47,560.47,550.36,552.5,363500
2025-07-30,552.0,555.1,548.37,554.67,600500
2025-07-31,563.72,590.0,559.42,584.56,1014600
2025-08-01,581.6,589.24,577.13,581.65,594900
2025-08-04,585.0,603.02,584.1,602.99,337200
2025-08-05,602.71,609.32,598.0,608.68,381700
2025-08-06,610.35,621.34,610.35,611.76,407400
2025-08-07,614.51,615.25,588.71,600.19,532800
2025-08-08,598.97,600.11,590.7,594.35,252600
2025-08-11,594.51,598.06,582.64,584.2,259100
2025-08-12,583.43,584.5,563.58,563.94,341300
2025-08-13,566.97,580.45,563.43,580.3,325500
2025-08-14,579.64,580.48,570.77,573.24,223900
2025-08-15,573.24,578.19,567.96,572.03,279000
2025-08-18,572.33,576.91,563.81,567.82,395500
2025-08-19,570.01,572.77,566.39,570.26,229800
2025-08-20,569.69,575.93,563.91,567.95,231600
2025-08-21,563.78,569.27,558.33,566.67,215400
2025-08-22,565.0,566.95,555.02,561.14,337300
2025-08-25,563.61,564.47,554.05,554.96,210000
2025-08-26,553.25,561.0,547.1,547.18,447400
2025-08-27,550.32,561.84,550.32,560.81,289700
2025-08-28,560.57,560.57,549.42,556.28,293000
2025-08-29,557.32,562.88,556.89,562.88,278200
2025-09-02,555.24,560.17,548.4,552.49,280300
2025-09-03,551.7,554.14,549.29,553.83,168800
2025-09-04,553.09,554.53,546.41,554.23,403900
2025-09-05,557.72,561.02,553.08,559.96,174400
2025-09-08,559.96,566.58,558.24,566.1,233900
2025-09-09,566.34,566.34,554.47,558.41,250800
2025-09-10,557.01,558.49,543.68,545.91,279600
2025-09-11,552.4,555.52,548.25,553.99,301600
2025-09-12,553.19,553.19,544.5,544.99,277800
2025-09-15,544.99,547.93,532.47,539.46,400300
2025-09-16,540.11,541.29,532.9,534.67,246900
2025-09-17,537.32,543.3,532.19,536.38,296000
2025-09-18,535.27,540.62,528.09,530.05,364800
2025-09-19,530.78,537.64,529.51,534.32,995800
2025-09-22,531.8,538.79,530.51,536.16,277700
2025-09-23,536.62,538.9,527.23,528.39,323500
2025-09-24,528.98,530.79,521.08,522.89,383900
2025-09-25,522.0,526.6,516.77,522.22,289000
2025-09-26,524.35,531.53,520.95,529.72,220000
2025-09-29,530.59,531.94,527.37,529.23,239000
2025-09-30,524.91,526.48,517.65,523.16,254200
2025-10-01,525.06,525.06,498.58,500.74,639800
2025-10-02,499.59,508.13,494.32,498.19,510600
2025-10-03,498.19,509.3,497.32,502.74,296700
2025-10-06,500.46,504.4,495.3,496.23,311100
2025-10-07,496.03,496.72,483.56,485.73,375200
2025-10-08,497.13,519.79,489.44,517.57,714600
2025-10-09,516.9,517.67,505.12,506.46,446100
2025-10-10,504.05,509.65,499.9,504.21,322400
2025-10-13,502.09,511.95,496.94,506.53,395000
2025-10-14,503.64,507.75,500.39,506.28,267000
2025-10-15,505.09,507.25,499.92,502.05,274400
2025-10-16,498.94,505.69,495.53,496.54,227500
2025-10-17,496.06,506.55,496.06,505.6,252200
2025-10-20,504.64,514.53,504.64,510.25,223000
2025-10-21,509.49,521.99,509.49,518.69,188400
2025-10-22,515.79,524.43,512.82,513.05,187900
2025-10-23,513.37,517.33,510.94,516.25,234600
2025-10-24,518.37,518.37,507.2,508.66,318800
2025-10-27,511.9,517.51,501.45,509.06,348100
2025-10-28,505.89,513.32,504.68,510.68,211500
2025-10-29,504.43,510.19,475.77,478.0,725700
2025-10-30,469.01,489.92,450.0,478.08,793200
2025-10-31,477.45,483.5,472.44,476.26,404100
2025-11-03,471.91,474.94,460.0,467.02,528400
2025-11-04,470.55,474.96,463.26,469.71,377800
2025-11-05,469.71,472.53,452.62,460.81,715000
2025-11-06,465.0,467.2,457.43,465.01,514400
2025-11-07,463.41,471.28,456.38,463.43,345000
2025-11-10,458.58,466.64,456.0,464.48,414400
2025-11-11,465.71,470.19,461.91,470.0,265100
2025-11-12,469.5,474.0,463.0,466.62,315600
2025-11-13,465.05,469.12,462.88,466.37,386700
2025-11-14,464.83,471.94,461.02,467.64,304600
2025-11-17,468.73,469.42,458.34,463.05,419100
2025-11-18,463.24,469.13,461.77,466.25,437900
2025-11-19,465.63,468.56,461.1,465.77,453700
2025-11-20,467.32,472.65,463.67,466.0,478900
2025-11-21,469.17,481.57,468.16,472.77,565500
2025-11-24,471.08,473.72,452.55,453.04,841400
2025-11-25,457.82,471.8,455.81,470.69,436500
2025-11-26,467.88,473.31,465.15,465.96,257400
2025-11-28,459.95,471.66,459.95,469.62,138800
2025-12-01,465.5,470.69,463.74,465.55,384100
2025-12-02,466.66,467.42,461.15,461.53,284400
2025-12-03,460.71,469.29,460.6,461.84,269500
2025-12-04,464.36,468.92,462.63,466.63,278900
2025-12-05,467.19,470.45,464.86,469.33,289300
2025-12-08,468.17,472.0,450.18,460.2,526800
2025-12-09,461.18,464.58,451.23,453.36,352000
2025-12-10,453.36,456.76,450.56,455.78,414000
2025-12-11,455.77,461.31,451.75,453.73,406200
2025-12-12,462.8,462.8,454.35,455.64,334900
2025-12-15,458.67,458.67,445.64,447.0,551500
2025-12-16,449.0,452.21,446.69,450.11,384100
2025-12-17,450.57,456.74,448.84,451.26,351500
2025-12-18,451.0,458.38,447.35,455.42,561000
2025-12-19,455.76,460.47,451.9,457.9,1497400
2025-12-22,460.0,469.97,457.9,464.97,300700
2025-12-23,465.0,466.0,458.84,462.25,243600
2025-12-24,461.44,461.51,457.52,461.32,113700
2025-12-26,461.0,462.3,458.87,461.06,129500
2025-12-29,460.37,463.36,458.54,460.72,218100
2025-12-30,458.04,464.38,457.92,458.13,147300
2025-12-31,456.21,458.78,453.22,453.95,181300
2026-01-02,450.63,451.74,431.68,435.83,353600
2026-01-05,431.93,446.09,430.0,441.1,353700
2026-01-06,441.06,445.75,438.21,443.66,376800
2026-01-07,445.85,450.66,441.36,448.23,312700
2026-01-08,452.46,460.68,450.69,453.4,336500
2026-01-09,454.14,456.51,447.73,448.37,205100
2026-01-12,445.28,450.76,444.39,446.46,317300
2026-01-13,447.0,447.76,437.96,443.14,452700
2026-01-14,441.99,452.6,439.18,452.0,373600
2026-01-15,448.45,451.82,438.94,446.15,408400
2026-01-16,444.54,445.43,436.0,440.01,309800
2026-01-20,434.93,438.92,427.65,428.47,442000
2026-01-21,429.41,438.33,427.79,434.33,503000
2026-01-22,435.76,443.47,435.03,440.58,400100
2026-01-23,436.97,442.11,430.5,434.76,268100
2026-01-26,434.99,441.02,433.66,439.82,270800
2026-01-27,438.62,440.05,421.42,426.16,364100
2026-01-28,435.45,435.45,419.09,419.12,322900
2026-01-29,416.43,416.43,377.3,380.0,842500
2026-01-30,380.67,383.07,365.7,369.4,701000
2026-02-02,372.09,375.64,362.56,362.88,667800
2026-02-03,362.2,362.2,321.33,332.05,1536200
2026-02-04,334.0,348.42,320.23,343.24,1308900
2026-02-05,347.34,355.8,337.89,340.86,1263300
2026-02-06,341.67,348.81,339.65,348.35,768200
2026-02-09,346.8,358.0,343.11,355.24,761200
2026-02-10,357.26,367.55,356.55,360.51,783900
2026-02-11,363.04,370.0,336.58,339.25,1280500
2026-02-12,320.0,332.7,283.72,287.04,2531000
2026-02-13,291.46,309.12,291.46,303.94,2141200
2026-02-17,305.31,316.7,301.93,312.48,1207500
2026-02-18,314.51,325.0,312.72,317.24,930100
2026-02-19,317.78,320.15,313.39,319.55,636100
2026-02-20,318.65,327.0,314.87,317.01,757500
2026-02-23,315.03,321.3,306.3,317.43,1080700
2026-02-24,317.33,330.34,316.67,323.78,737800
2026-02-25,328.29,337.47,322.78,335.11,741400
2026-02-26,342.15,358.01,342.0,353.11,1066600
2026-02-27,344.03,355.94,340.94,354.69,831800
2026-03-02,350.95,359.63,348.62,354.62,616700
2026-03-03,350.16,369.77,343.47,367.22,900500
2026-03-04,362.71,370.0,362.23,368.16,523200
2026-03-05,367.45,377.77,365.68,365.87,764600
2026-03-06,367.29,376.35,363.85,374.59,524500
2026-03-09,370.93,373.46,361.4,367.35,548300
2026-03-10,365.22,369.64,343.69,354.24,592600
2026-03-11,356.42,360.3,343.54,348.32,379000
2026-03-12,348.49,359.37,345.03,345.52,361400
2026-03-13,348.26,350.76,341.98,349.79,413600
2026-03-16,348.84,354.42,346.7,348.63,443900
2026-03-17,348.67,360.0,346.23,348.45,386400
2026-03-18,345.0,351.5,342.09,343.95,370200
2026-03-19,345.05,355.74,344.23,350.07,644400
2026-03-20,345.01,355.05,342.0,350.2,1013900
2026-03-23,351.5,357.22,343.42,349.09,392200
2026-03-24,345.27,346.5,333.92,338.27,426500
2026-03-25,343.43,346.52,327.38,331.47,415000
2026-03-26,328.89,347.79,328.89,341.07,362600
2026-03-27,338.91,340.6,330.15,334.03,418100
2026-03-30,336.92,346.19,335.66,341.15,347300
2026-03-31,343.2,346.37,338.68,342.38,437000
2026-04-01,338.29,340.5,329.2,333.49,422000
2026-04-02,336.06,343.13,329.47,338.03,527400
2026-04-06,338.94,340.92,334.13,337.2,360200
2026-04-07,336.83,341.49,333.22,333.7,319600
2026-04-08,335.26,340.0,327.45,327.88,484800
2026-04-09,324.96,327.22,315.84,323.68,636500
2026-04-10,321.36,322.01,314.07,317.3,563700
2026-04-13,318.95,324.32,318.09,320.85,789400
2026-04-14,325.66,329.82,319.45,322.31,581700
2026-04-15,326.87,340.4,325.0,337.61,428300
2026-04-16,343.72,347.22,339.22,339.84,368700
2026-04-17,345.23,346.5,339.42,342.61,318400
2026-04-20,342.12,349.17,341.42,345.93,229300
2026-04-21,345.98,350.83,340.14,341.46,336800
2026-04-22,345.58,350.82,343.4,346.38,372400
2026-04-23,344.1,344.1,328.61,335.74,441300
2026-04-24,335.9,342.22,333.44,342.03,381500
2026-04-27,339.18,346.61,336.44,337.58,521000
2026-04-28,343.77,349.73,340.22,340.46,576400
2026-04-29,340.0,356.63,335.74,356.01,697300
2026-04-30,358.0,366.63,332.32,341.14,935300
2026-05-01,351.5,358.5,334.2,335.5,507700
2026-05-04,336.0,338.14,327.0,327.25,568100
2026-05-05,327.0,329.84,320.38,327.82,411800
2026-05-06,323.68,328.43,318.64,320.65,404300
2026-05-07,324.62,335.94,324.62,331.08,440300
2026-05-08,327.19,328.53,318.0,324.58,312600
2026-05-11,315.8,320.03,307.37,312.27,742200
2026-05-12,317.67,319.06,307.15,309.65,3573300
2026-05-13,304.48,307.46,294.36,298.59,848100
2026-05-14,296.77,303.07,294.37,299.08,696300
2026-05-15,304.93,312.15,300.89,311.89,923800
2026-05-18,310.64,325.54,310.64,320.79,1033000
2026-05-19,328.42,330.92,318.43,322.74,1005200
2026-05-20,316.6,317.96,310.15,317.26,622600
2026-05-21,313.29,313.29,305.0,308.74,514400
2026-05-22,309.7,316.82,309.53,313.25,357900
2026-05-26,309.33,311.63,305.75,307.39,650100
2026-05-27,306.0,310.63,299.83,302.55,626900
2026-05-28,303.88,310.54,301.16,306.04,654500
2026-05-29,305.62,313.26,302.47,313.15,1217400
2026-06-01,321.89,331.54,317.31,329.83,780900
2026-06-02,321.69,322.5,307.14,313.56,645100
2026-06-03,310.01,310.6,298.95,303.77,653600
2026-06-04,310.85,314.56,306.17,308.15,691700
2026-06-05,312.99,316.01,305.17,312.07,658100
2026-06-08,307.33,308.85,301.16,303.77,640200
2026-06-09,297.23,309.01,293.72,308.92,1394100
2026-06-10,311.88,314.71,302.59,302.81,1645400
2026-06-11,297.83,305.66,294.08,295.48,1204000
2026-06-12,292.91,298.9,285.86,298.84,712800
2026-06-15,298.12,300.0,286.01,289.84,782400
2026-06-16,290.04,300.09,288.66,298.27,1127200
2026-06-17,295.05,301.0,287.3,287.71,739300
2026-06-18,285.43,288.82,274.09,278.91,1775500
2026-06-22,271.94,280.29,270.71,275.27,1084800
2026-06-23,279.06,286.0,275.3,279.14,1119100
2026-06-24,278.39,291.44,278.39,286.03,891100
2026-06-25,283.34,289.25,279.78,281.09,852300
2026-06-26,285.1,295.67,284.79,294.4,1647500
2026-06-29,297.27,299.97,286.73,290.75,687800
2026-06-30,285.94,294.8,284.82,292.46,722600
2026-07-01,300.52,310.48,298.42,301.67,829100
2026-07-02,306.59,320.06,303.8,318.1,774800
2026-07-06,315.55,320.97,310.57,319.01,663700
2026-07-07,327.7,330.73,321.13,321.45,615000
2026-07-08,317.72,320.57,312.13,314.29,683500
2026-07-09,304.69,311.61,299.6,311.01,605800
2026-07-10,317.71,320.37,306.07,309.48,354600
2026-07-13,312.36,319.2,312.36,314.22,462200
2026-07-14,301.56,307.18,300.09,301.29,598100
2026-07-15,305.71,311.3,302.26,303.52,565300
2026-07-16,308.63,320.81,303.82,316.23,895100
2026-07-17,317.02,324.83,313.25,319.51,778400
2026-07-20,315.12,319.08,308.76,317.96,681800
2026-07-21,307.3,314.57,299.65,299.74,671600
2026-07-22,301.44,302.41,282.82,284.32,784500
2026-07-23,289.0,291.06,284.29,288.16,560200
2026-07-24,293.92,301.47,292.63,297.15,570700
2026-07-27,303.24,323.39,300.18,315.88,784600
2026-07-28,322.59,335.12,321.33,333.35,1382400
2026-07-29,338.35,348.62,328.99,333.5,1450600
2026-07-30,322.11,331.25,314.04,323.31,1735500
2026-07-31,318.46,321.62,307.63,309.6,1244100
2026-08-03,318.44,326.25,305.03,305.54,730700
2026-08-04,300.4,313.34,300.4,313.33,917600
2026-08-05,316.75,317.63,305.16,306.58,786100
2026-08-06,300.99,307.83,299.73,306.33,868700
2026-08-07,309.53,315.46,307.79,312.45,693400
2026-08-10,308.36,321.0,308.0,318.63,558000
2026-08-11,316.18,325.37,313.01,322.93,563700
2026-08-12,316.13,319.89,311.89,317.64,659700
2026-08-13,319.01,331.86,311.07,328.95,1021200
2026-08-14,333.25,335.0,324.93,328.64,713200
2026-08-17,324.1,326.33,319.81,320.48,597500
2026-08-18,327.37,338.22,327.17,332.21,630600
2026-08-19,332.55,355.97,332.06,346.88,868500
2026-08-20,347.12,353.39,345.38,348.56,140667
